time,open,high,low,close,tick_volume,spread,real_volume,date
735868800,0.9109,0.9109,0.9109,0.9109,1.0,200,0.0,1993-04-27
735955200,0.9068,0.9068,0.9068,0.9068,1.0,200,0.0,1993-04-28
736041600,0.904,0.904,0.904,0.904,1.0,200,0.0,1993-04-29
736128000,0.899,0.899,0.899,0.899,1.0,200,0.0,1993-04-30
736387200,0.8955,0.8955,0.8955,0.8955,1.0,200,0.0,1993-05-03
736473600,0.888,0.888,0.888,0.888,1.0,200,0.0,1993-05-04
736560000,0.8957,0.8957,0.8957,0.8957,1.0,200,0.0,1993-05-05
736646400,0.8958,0.8958,0.8958,0.8958,1.0,200,0.0,1993-05-06
736732800,0.9003,0.9003,0.9003,0.9003,1.0,200,0.0,1993-05-07
736992000,0.8916,0.8916,0.8916,0.8916,1.0,200,0.0,1993-05-10
737078400,0.8958,0.8958,0.8958,0.8958,1.0,200,0.0,1993-05-11
737164800,0.8946,0.8946,0.8946,0.8946,1.0,200,0.0,1993-05-12
737251200,0.8954,0.8954,0.8954,0.8954,1.0,200,0.0,1993-05-13
737337600,0.8965,0.8965,0.8965,0.8965,1.0,200,0.0,1993-05-14
737596800,0.8959,0.8959,0.8959,0.8959,1.0,200,0.0,1993-05-17
737683200,0.8781,0.8781,0.8781,0.8781,1.0,200,0.0,1993-05-18
737769600,0.8745,0.8745,0.8745,0.8745,1.0,200,0.0,1993-05-19
737856000,0.8821,0.8821,0.8821,0.8821,1.0,200,0.0,1993-05-20
737942400,0.8795,0.8795,0.8795,0.8795,1.0,200,0.0,1993-05-21
738201600,0.8761,0.8761,0.8761,0.8761,1.0,200,0.0,1993-05-24
738288000,0.8833,0.8833,0.8833,0.8833,1.0,200,0.0,1993-05-25
738374400,0.8828,0.8828,0.8828,0.8828,1.0,200,0.0,1993-05-26
738460800,0.8774,0.8774,0.8774,0.8774,1.0,200,0.0,1993-05-27
738547200,0.8748,0.8748,0.8748,0.8748,1.0,200,0.0,1993-05-28
738806400,0.8626,0.8626,0.8626,0.8626,1.0,200,0.0,1993-05-31
738892800,0.8623,0.8623,0.8623,0.8623,1.0,200,0.0,1993-06-01
738979200,0.8611,0.8611,0.8611,0.8611,1.0,200,0.0,1993-06-02
739065600,0.8682,0.8682,0.8682,0.8682,1.0,200,0.0,1993-06-03
739152000,0.8643,0.8643,0.8643,0.8643,1.0,200,0.0,1993-06-04
739411200,0.8625,0.8625,0.8625,0.8625,1.0,200,0.0,1993-06-07
739497600,0.8592,0.8592,0.8592,0.8592,1.0,200,0.0,1993-06-08
739584000,0.8643,0.8643,0.8643,0.8643,1.0,200,0.0,1993-06-09
739670400,0.8664,0.8664,0.8664,0.8664,1.0,200,0.0,1993-06-10
739756800,0.8701,0.8701,0.8701,0.8701,1.0,200,0.0,1993-06-11
740016000,0.8639,0.8639,0.8639,0.8639,1.0,200,0.0,1993-06-14
740102400,0.8675,0.8675,0.8675,0.8675,1.0,200,0.0,1993-06-15
740188800,0.8657,0.8657,0.8657,0.8657,1.0,200,0.0,1993-06-16
740275200,0.8588,0.8588,0.8588,0.8588,1.0,200,0.0,1993-06-17
740361600,0.8631,0.8631,0.8631,0.8631,1.0,200,0.0,1993-06-18
740620800,0.8726,0.8726,0.8726,0.8726,1.0,200,0.0,1993-06-21
740707200,0.8736,0.8736,0.8736,0.8736,1.0,200,0.0,1993-06-22
740793600,0.8638,0.8638,0.8638,0.8638,1.0,200,0.0,1993-06-23
740880000,0.8579,0.8579,0.8579,0.8579,1.0,200,0.0,1993-06-24
740966400,0.861,0.861,0.861,0.861,1.0,200,0.0,1993-06-25
741225600,0.8568,0.8568,0.8568,0.8568,1.0,200,0.0,1993-06-28
741312000,0.8587,0.8587,0.8587,0.8587,1.0,200,0.0,1993-06-29
741398400,0.8533,0.8533,0.8533,0.8533,1.0,200,0.0,1993-06-30
741484800,0.8622,0.8622,0.8622,0.8622,1.0,200,0.0,1993-07-01
741571200,0.8652,0.8652,0.8652,0.8652,1.0,200,0.0,1993-07-02
741830400,0.8698,0.8698,0.8698,0.8698,1.0,200,0.0,1993-07-05
741916800,0.8709,0.8709,0.8709,0.8709,1.0,200,0.0,1993-07-06
742003200,0.8733,0.8733,0.8733,0.8733,1.0,200,0.0,1993-07-07
742089600,0.8668,0.8668,0.8668,0.8668,1.0,200,0.0,1993-07-08
742176000,0.8706,0.8706,0.8706,0.8706,1.0,200,0.0,1993-07-09
742435200,0.8688,0.8688,0.8688,0.8688,1.0,200,0.0,1993-07-12
742521600,0.8676,0.8676,0.8676,0.8676,1.0,200,0.0,1993-07-13
742608000,0.8687,0.8687,0.8687,0.8687,1.0,200,0.0,1993-07-14
742694400,0.8728,0.8728,0.8728,0.8728,1.0,200,0.0,1993-07-15
742780800,0.8684,0.8684,0.8684,0.8684,1.0,200,0.0,1993-07-16
743040000,0.8645,0.8645,0.8645,0.8645,1.0,200,0.0,1993-07-19
743126400,0.868,0.868,0.868,0.868,1.0,200,0.0,1993-07-20
743212800,0.8653,0.8653,0.8653,0.8653,1.0,200,0.0,1993-07-21
743299200,0.8648,0.8648,0.8648,0.8648,1.0,200,0.0,1993-07-22
743385600,0.8704,0.8704,0.8704,0.8704,1.0,200,0.0,1993-07-23
743644800,0.8704,0.8704,0.8704,0.8704,1.0,200,0.0,1993-07-26
743731200,0.8689,0.8689,0.8689,0.8689,1.0,200,0.0,1993-07-27
743817600,0.8701,0.8701,0.8701,0.8701,1.0,200,0.0,1993-07-28
743904000,0.8777,0.8777,0.8777,0.8777,1.0,200,0.0,1993-07-29
743990400,0.8874,0.8874,0.8874,0.8874,1.0,200,0.0,1993-07-30
744249600,0.8922,0.8922,0.8922,0.8922,1.0,200,0.0,1993-08-02
744336000,0.8909,0.8909,0.8909,0.8909,1.0,200,0.0,1993-08-03
744422400,0.888,0.888,0.888,0.888,1.0,200,0.0,1993-08-04
744508800,0.8798,0.8798,0.8798,0.8798,1.0,200,0.0,1993-08-05
744595200,0.8807,0.8807,0.8807,0.8807,1.0,200,0.0,1993-08-06
744854400,0.8811,0.8811,0.8811,0.8811,1.0,200,0.0,1993-08-09
744940800,0.8879,0.8879,0.8879,0.8879,1.0,200,0.0,1993-08-10
745027200,0.8932,0.8932,0.8932,0.8932,1.0,200,0.0,1993-08-11
745113600,0.8881,0.8881,0.8881,0.8881,1.0,200,0.0,1993-08-12
745200000,0.8899,0.8899,0.8899,0.8899,1.0,200,0.0,1993-08-13
745459200,0.8919,0.8919,0.8919,0.8919,1.0,200,0.0,1993-08-16
745545600,0.8862,0.8862,0.8862,0.8862,1.0,200,0.0,1993-08-17
745632000,0.8942,0.8942,0.8942,0.8942,1.0,200,0.0,1993-08-18
745718400,0.8949,0.8949,0.8949,0.8949,1.0,200,0.0,1993-08-19
745804800,0.8917,0.8917,0.8917,0.8917,1.0,200,0.0,1993-08-20
746064000,0.8818,0.8818,0.8818,0.8818,1.0,200,0.0,1993-08-23
746150400,0.8827,0.8827,0.8827,0.8827,1.0,200,0.0,1993-08-24
746236800,0.8839,0.8839,0.8839,0.8839,1.0,200,0.0,1993-08-25
746323200,0.8805,0.8805,0.8805,0.8805,1.0,200,0.0,1993-08-26
746409600,0.8798,0.8798,0.8798,0.8798,1.0,200,0.0,1993-08-27
746668800,0.8871,0.8871,0.8871,0.8871,1.0,200,0.0,1993-08-30
746755200,0.8887,0.8887,0.8887,0.8887,1.0,200,0.0,1993-08-31
746841600,0.8855,0.8855,0.8855,0.8855,1.0,200,0.0,1993-09-01
746928000,0.8697,0.8697,0.8697,0.8697,1.0,200,0.0,1993-09-02
747014400,0.8619,0.8619,0.8619,0.8619,1.0,200,0.0,1993-09-03
747273600,0.8615,0.8615,0.8615,0.8615,1.0,200,0.0,1993-09-06
747360000,0.8596,0.8596,0.8596,0.8596,1.0,200,0.0,1993-09-07
747446400,0.8676,0.8676,0.8676,0.8676,1.0,200,0.0,1993-09-08
747532800,0.8621,0.8621,0.8621,0.8621,1.0,200,0.0,1993-09-09
747619200,0.8542,0.8542,0.8542,0.8542,1.0,200,0.0,1993-09-10
747878400,0.8564,0.8564,0.8564,0.8564,1.0,200,0.0,1993-09-13
747964800,0.853,0.853,0.853,0.853,1.0,200,0.0,1993-09-14
748051200,0.8524,0.8524,0.8524,0.8524,1.0,200,0.0,1993-09-15
748137600,0.8555,0.8555,0.8555,0.8555,1.0,200,0.0,1993-09-16
748224000,0.8575,0.8575,0.8575,0.8575,1.0,200,0.0,1993-09-17
748483200,0.8607,0.8607,0.8607,0.8607,1.0,200,0.0,1993-09-20
748569600,0.8664,0.8664,0.8664,0.8664,1.0,200,0.0,1993-09-21
748656000,0.8649,0.8649,0.8649,0.8649,1.0,200,0.0,1993-09-22
