time,open,high,low,close,tick_volume,spread,real_volume,date
735868800,0.7201,0.7265,0.713,0.715,2191.0,50,0.0,1993-04-27
735955200,0.7144,0.7185,0.7103,0.7135,1551.0,50,0.0,1993-04-28
736041600,0.7143,0.716,0.7095,0.7103,901.0,50,0.0,1993-04-29
736128000,0.7106,0.7126,0.7035,0.7075,1511.0,50,0.0,1993-04-30
736387200,0.7065,0.7078,0.706,0.7078,231.0,50,0.0,1993-05-03
736473600,0.7057,0.708,0.697,0.699,1531.0,50,0.0,1993-05-04
736560000,0.6985,0.7038,0.695,0.7038,1231.0,50,0.0,1993-05-05
736646400,0.7026,0.7065,0.702,0.7049,671.0,50,0.0,1993-05-06
736732800,0.7045,0.7105,0.7037,0.7095,861.0,50,0.0,1993-05-07
736992000,0.709,0.7095,0.7005,0.7025,1151.0,50,0.0,1993-05-10
737078400,0.702,0.7042,0.6978,0.7035,1131.0,50,0.0,1993-05-11
737164800,0.7023,0.7046,0.6985,0.7025,1201.0,50,0.0,1993-05-12
737251200,0.7012,0.707,0.6973,0.7038,1681.0,50,0.0,1993-05-13
737337600,0.7034,0.7072,0.7,0.7035,1431.0,50,0.0,1993-05-14
737596800,0.7024,0.704,0.6995,0.703,841.0,50,0.0,1993-05-17
737683200,0.7002,0.7014,0.688,0.693,1961.0,50,0.0,1993-05-18
737769600,0.6917,0.6955,0.69,0.6925,1021.0,50,0.0,1993-05-19
737856000,0.69,0.6958,0.69,0.6958,581.0,50,0.0,1993-05-20
737942400,0.6943,0.6962,0.692,0.6953,741.0,50,0.0,1993-05-21
738201600,0.694,0.6955,0.6882,0.695,1361.0,50,0.0,1993-05-24
738288000,0.6948,0.7015,0.6948,0.7005,771.0,50,0.0,1993-05-25
738374400,0.7003,0.7008,0.695,0.699,1031.0,50,0.0,1993-05-26
738460800,0.6966,0.6975,0.691,0.692,841.0,50,0.0,1993-05-27
738547200,0.6922,0.6928,0.685,0.6875,1091.0,50,0.0,1993-05-28
738806400,0.6881,0.6886,0.674,0.6785,1961.0,50,0.0,1993-05-31
738892800,0.6747,0.682,0.6708,0.679,1811.0,50,0.0,1993-06-01
738979200,0.6792,0.6827,0.675,0.6775,1371.0,50,0.0,1993-06-02
739065600,0.6763,0.683,0.6753,0.6805,1121.0,50,0.0,1993-06-03
739152000,0.6795,0.68,0.673,0.6759,1041.0,50,0.0,1993-06-04
739411200,0.673,0.6767,0.671,0.673,1141.0,50,0.0,1993-06-07
739497600,0.6731,0.6745,0.668,0.6698,971.0,50,0.0,1993-06-08
739584000,0.6705,0.6775,0.6695,0.6758,1071.0,50,0.0,1993-06-09
739670400,0.6745,0.6775,0.6723,0.6768,811.0,50,0.0,1993-06-10
739756800,0.6735,0.681,0.6731,0.6795,981.0,50,0.0,1993-06-11
740016000,0.6785,0.6798,0.673,0.675,1011.0,50,0.0,1993-06-14
740102400,0.6735,0.6785,0.6725,0.6755,1001.0,50,0.0,1993-06-15
740188800,0.6768,0.6805,0.675,0.677,1081.0,50,0.0,1993-06-16
740275200,0.6764,0.6792,0.672,0.675,1301.0,50,0.0,1993-06-17
740361600,0.6733,0.6791,0.6695,0.6765,1601.0,50,0.0,1993-06-18
740620800,0.6774,0.688,0.6758,0.6847,1711.0,50,0.0,1993-06-21
740707200,0.6855,0.6883,0.682,0.6828,991.0,50,0.0,1993-06-22
740793600,0.6823,0.684,0.6725,0.6755,1621.0,50,0.0,1993-06-23
740880000,0.6729,0.6751,0.6647,0.6684,1631.0,50,0.0,1993-06-24
740966400,0.6669,0.6737,0.6668,0.6715,921.0,50,0.0,1993-06-25
741225600,0.6679,0.6712,0.6654,0.6695,1001.0,50,0.0,1993-06-28
741312000,0.6685,0.6725,0.667,0.671,851.0,50,0.0,1993-06-29
741398400,0.6685,0.6737,0.662,0.6685,2341.0,50,0.0,1993-06-30
741484800,0.6659,0.671,0.6632,0.6693,1221.0,50,0.0,1993-07-01
741571200,0.6698,0.6718,0.6655,0.6718,1061.0,50,0.0,1993-07-02
741830400,0.6711,0.6768,0.6708,0.6768,631.0,50,0.0,1993-07-05
741916800,0.6749,0.6793,0.6712,0.6793,1181.0,50,0.0,1993-07-06
742003200,0.6772,0.683,0.6735,0.6805,1571.0,50,0.0,1993-07-07
742089600,0.6801,0.687,0.6785,0.6837,1341.0,50,0.0,1993-07-08
742176000,0.6849,0.6855,0.6794,0.6815,881.0,50,0.0,1993-07-09
742435200,0.6814,0.683,0.6775,0.681,1061.0,50,0.0,1993-07-12
742521600,0.678,0.681,0.6755,0.6775,1051.0,50,0.0,1993-07-13
742608000,0.6769,0.6828,0.6755,0.6785,1301.0,50,0.0,1993-07-14
742694400,0.6776,0.682,0.677,0.6805,711.0,50,0.0,1993-07-15
742780800,0.6807,0.6826,0.6764,0.6797,1141.0,50,0.0,1993-07-16
743040000,0.6776,0.6793,0.674,0.676,901.0,50,0.0,1993-07-19
743126400,0.6753,0.6795,0.6747,0.6785,641.0,50,0.0,1993-07-20
743212800,0.678,0.6825,0.6765,0.679,1101.0,50,0.0,1993-07-21
743299200,0.6772,0.6807,0.6725,0.6755,1471.0,50,0.0,1993-07-22
743385600,0.6744,0.68,0.6744,0.68,561.0,50,0.0,1993-07-23
743644800,0.6783,0.6799,0.6772,0.6799,381.0,50,0.0,1993-07-26
743731200,0.6781,0.679,0.676,0.6776,551.0,50,0.0,1993-07-27
743817600,0.6771,0.68,0.6755,0.6764,831.0,50,0.0,1993-07-28
743904000,0.6761,0.6828,0.6743,0.6828,1031.0,50,0.0,1993-07-29
743990400,0.6801,0.691,0.6795,0.69,1311.0,50,0.0,1993-07-30
744249600,0.6885,0.694,0.6863,0.6911,1281.0,50,0.0,1993-08-02
744336000,0.69,0.6915,0.688,0.69,701.0,50,0.0,1993-08-03
744422400,0.6892,0.69,0.685,0.6889,971.0,50,0.0,1993-08-04
744508800,0.6886,0.6905,0.6785,0.6813,1671.0,50,0.0,1993-08-05
744595200,0.6804,0.684,0.6765,0.6807,1471.0,50,0.0,1993-08-06
744854400,0.6907,0.6919,0.68,0.682,1511.0,50,0.0,1993-08-09
744940800,0.6813,0.6885,0.6812,0.6875,841.0,50,0.0,1993-08-10
745027200,0.6857,0.6871,0.682,0.6834,791.0,50,0.0,1993-08-11
745113600,0.6833,0.6855,0.675,0.677,1471.0,50,0.0,1993-08-12
745200000,0.6763,0.681,0.6737,0.6785,1241.0,50,0.0,1993-08-13
745459200,0.6755,0.6825,0.6729,0.6808,1391.0,50,0.0,1993-08-16
745545600,0.679,0.683,0.6715,0.674,1801.0,50,0.0,1993-08-17
745632000,0.6722,0.6785,0.6722,0.6763,851.0,50,0.0,1993-08-18
745718400,0.6751,0.684,0.674,0.6815,1361.0,50,0.0,1993-08-19
745804800,0.6813,0.6818,0.676,0.6767,701.0,50,0.0,1993-08-20
746064000,0.676,0.6774,0.6658,0.6705,1771.0,50,0.0,1993-08-23
746150400,0.6675,0.6715,0.6653,0.6695,1041.0,50,0.0,1993-08-24
746236800,0.6705,0.6738,0.6689,0.6738,651.0,50,0.0,1993-08-25
746323200,0.6711,0.674,0.6685,0.6705,1041.0,50,0.0,1993-08-26
746409600,0.6689,0.6699,0.6645,0.6654,731.0,50,0.0,1993-08-27
746668800,0.6652,0.673,0.6645,0.6715,1071.0,50,0.0,1993-08-30
746755200,0.6704,0.6743,0.6685,0.6743,771.0,50,0.0,1993-08-31
746841600,0.6726,0.6734,0.6655,0.6685,1171.0,50,0.0,1993-09-01
746928000,0.6632,0.6675,0.655,0.6575,1931.0,50,0.0,1993-09-02
747014400,0.656,0.6578,0.6445,0.649,1961.0,50,0.0,1993-09-03
747273600,0.6506,0.6528,0.6465,0.6485,1051.0,50,0.0,1993-09-06
747360000,0.6515,0.6555,0.6465,0.6525,1701.0,50,0.0,1993-09-07
747446400,0.65,0.661,0.6499,0.6587,1351.0,50,0.0,1993-09-08
747532800,0.6581,0.6595,0.652,0.6555,1241.0,50,0.0,1993-09-09
747619200,0.654,0.6582,0.647,0.6505,1891.0,50,0.0,1993-09-10
747878400,0.6511,0.654,0.6485,0.6508,1071.0,50,0.0,1993-09-13
747964800,0.6505,0.6545,0.6428,0.6463,1921.0,50,0.0,1993-09-14
748051200,0.645,0.653,0.6445,0.65,1201.0,50,0.0,1993-09-15
748137600,0.6482,0.654,0.6474,0.651,1041.0,50,0.0,1993-09-16
748224000,0.6483,0.655,0.6465,0.6523,1301.0,50,0.0,1993-09-17
748483200,0.6514,0.6535,0.6455,0.6503,1491.0,50,0.0,1993-09-20
748569600,0.6498,0.658,0.6482,0.656,1341.0,50,0.0,1993-09-21
748656000,0.6543,0.658,0.6529,0.656,851.0,50,0.0,1993-09-22
748742400,0.651,0.657,0.6502,0.6555,911.0,50,0.0,1993-09-23
748828800,0.6546,0.6565,0.6505,0.6545,1191.0,50,0.0,1993-09-24
749088000,0.6517,0.6536,0.6471,0.6482,951.0,50,0.0,1993-09-27
749174400,0.6482,0.6492,0.6455,0.6477,691.0,50,0.0,1993-09-28
749260800,0.647,0.65,0.6419,0.6457,1491.0,50,0.0,1993-09-29
749347200,0.6454,0.6471,0.6412,0.645,1141.0,50,0.0,1993-09-30
749433600,0.6462,0.6492,0.6451,0.647,741.0,50,0.0,1993-10-01
749692800,0.6477,0.65,0.6442,0.6455,941.0,50,0.0,1993-10-04
