time,open,high,low,close,tick_volume,spread,real_volume,date
31795200,4.318,4.318,4.318,4.318,1.0,50,0.0,1971-01-04
31881600,4.3117,4.3117,4.3117,4.3117,1.0,50,0.0,1971-01-05
31968000,4.3113,4.3113,4.3113,4.3113,1.0,50,0.0,1971-01-06
32054400,4.3103,4.3103,4.3103,4.3103,1.0,50,0.0,1971-01-07
32140800,4.3109,4.3109,4.3109,4.3109,1.0,50,0.0,1971-01-08
32400000,4.3102,4.3102,4.3102,4.3102,1.0,50,0.0,1971-01-11
32486400,4.3099,4.3099,4.3099,4.3099,1.0,50,0.0,1971-01-12
32572800,4.3095,4.3095,4.3095,4.3095,1.0,50,0.0,1971-01-13
32659200,4.3095,4.3095,4.3095,4.3095,1.0,50,0.0,1971-01-14
32745600,4.3076,4.3076,4.3076,4.3076,1.0,50,0.0,1971-01-15
33004800,4.3029,4.3029,4.3029,4.3029,1.0,50,0.0,1971-01-18
33091200,4.3006,4.3006,4.3006,4.3006,1.0,50,0.0,1971-01-19
33177600,4.301,4.301,4.301,4.301,1.0,50,0.0,1971-01-20
33264000,4.3017,4.3017,4.3017,4.3017,1.0,50,0.0,1971-01-21
33350400,4.2996,4.2996,4.2996,4.2996,1.0,50,0.0,1971-01-22
33609600,4.3005,4.3005,4.3005,4.3005,1.0,50,0.0,1971-01-25
33696000,4.2987,4.2987,4.2987,4.2987,1.0,50,0.0,1971-01-26
33782400,4.2973,4.2973,4.2973,4.2973,1.0,50,0.0,1971-01-27
33868800,4.2978,4.2978,4.2978,4.2978,1.0,50,0.0,1971-01-28
33955200,4.2963000000000005,4.2963000000000005,4.2963000000000005,4.2963000000000005,1.0,50,0.0,1971-01-29
34214400,4.2968,4.2968,4.2968,4.2968,1.0,50,0.0,1971-02-01
34300800,4.2969,4.2969,4.2969,4.2969,1.0,50,0.0,1971-02-02
34387200,4.2965,4.2965,4.2965,4.2965,1.0,50,0.0,1971-02-03
34473600,4.2966,4.2966,4.2966,4.2966,1.0,50,0.0,1971-02-04
34560000,4.2969,4.2969,4.2969,4.2969,1.0,50,0.0,1971-02-05
34819200,4.2979,4.2979,4.2979,4.2979,1.0,50,0.0,1971-02-08
34905600,4.2969,4.2969,4.2969,4.2969,1.0,50,0.0,1971-02-09
34992000,4.2972,4.2972,4.2972,4.2972,1.0,50,0.0,1971-02-10
35078400,4.2967,4.2967,4.2967,4.2967,1.0,50,0.0,1971-02-11
35510400,4.2968,4.2968,4.2968,4.2968,1.0,50,0.0,1971-02-16
35596800,4.2968,4.2968,4.2968,4.2968,1.0,50,0.0,1971-02-17
35683200,4.2967,4.2967,4.2967,4.2967,1.0,50,0.0,1971-02-18
35769600,4.2963000000000005,4.2963000000000005,4.2963000000000005,4.2963000000000005,1.0,50,0.0,1971-02-19
36028800,4.2958,4.2958,4.2958,4.2958,1.0,50,0.0,1971-02-22
36115200,4.2957,4.2957,4.2957,4.2957,1.0,50,0.0,1971-02-23
36201600,4.3015,4.3015,4.3015,4.3015,1.0,50,0.0,1971-02-24
36288000,4.3073,4.3073,4.3073,4.3073,1.0,50,0.0,1971-02-25
